n,a,k,L,d
1,2,0,0,1
2,3,2,1,1
3,4,3,1,1
4,5,3,1,2
5,7,5,1,2
6,9,7,1,2
7,11,3,3,2
8,13,5,2,3
9,16,3,5,1
10,17,3,5,2
11,19,5,3,4
12,23,2,11,1
13,24,23,1,1
14,25,7,3,4
15,29,2,14,1
16,30,29,1,1
17,31,25,1,6
18,37,17,2,3
19,40,3,13,1
20,41,2,20,1
21,42,41,1,1
22,43,13,3,4
23,47,3,15,2
24,49,5,9,4
25,53,2,26,1
26,54,4,13,2
27,56,53,1,3
28,59,2,29,1
29,60,59,1,1
30,61,7,8,5
31,66,5,13,1
32,67,4,16,3
33,70,3,23,1
34,71,2,35,1
35,72,71,1,1
36,73,17,4,5
37,78,7,11,1
38,79,7,11,2
39,81,79,1,2
40,83,2,41,1
41,84,5,16,4
42,88,3,29,1
43,89,2,44,1
44,90,7,12,6
45,96,5,19,1
46,97,31,3,4
47,101,2,50,1
48,102,101,1,1
49,103,2,51,1
50,104,103,1,1
51,105,103,1,2
52,107,2,53,1
53,108,107,1,1
54,109,2,54,1
55,110,107,1,3
56,113,2,56,1
57,114,107,1,7
58,121,29,4,5
59,126,5,25,1
60,127,2,63,1
61,128,3,42,2
62,130,3,43,1
63,131,2,65,1
64,132,43,3,3
65,135,2,67,1
66,136,3,45,1
67,137,2,68,1
68,138,137,1,1
69,139,2,69,1
70,140,131,1,9
71,149,2,74,1
72,150,149,1,1
73,151,2,75,1
74,152,3,50,2
75,154,4,38,2
76,156,5,31,1
77,157,7,22,3
78,160,157,1,3
79,163,7,23,2
80,165,163,1,2
81,167,3,55,2
82,169,2,84,1
83,170,167,1,3
84,173,2,86,1
85,174,13,13,5
86,179,2,89,1
87,180,179,1,1
88,181,2,90,1
89,182,3,60,2
90,184,7,26,2
91,186,61,3,3
92,189,2,94,1
93,190,3,63,1
94,191,2,95,1
95,192,191,1,1
96,193,191,1,2
97,195,193,1,2
98,197,2,98,1
99,198,197,1,1
100,199,2,99,1
101,200,7,28,4
102,204,197,1,7
103,211,101,2,9
104,220,109,2,2
105,222,13,17,1
106,223,2,111,1
107,224,13,17,3
108,227,2,113,1
109,228,227,1,1
110,229,2,114,1
111,230,229,1,1
112,231,2,115,1
113,232,3,77,1
114,233,2,116,1
115,234,5,46,4
116,238,3,79,1
117,239,2,119,1
118,240,239,1,1
119,241,59,4,5
120,246,4,61,2
121,248,3,82,2
122,250,3,83,1
123,251,2,125,1
124,252,83,3,3
125,255,2,127,1
126,256,3,85,1
127,257,2,128,1
128,258,4,64,2
129,260,257,1,3
130,263,4,65,3
131,266,263,1,3
132,269,3,89,2
133,271,269,1,2
134,273,5,54,3
135,276,5,55,1
136,277,7,39,4
137,281,2,140,1
138,282,281,1,1
139,283,281,1,2
140,285,2,142,1
141,286,4,71,2
142,288,7,41,1
143,289,2,144,1
144,290,7,41,3
145,293,2,146,1
146,294,4,73,2
147,296,5,59,1
148,297,6,49,3
149,300,7,42,6
150,306,5,61,1
151,307,2,153,1
152,308,3,102,2
153,310,3,103,1
154,311,3,103,2
155,313,311,1,2
156,315,313,1,2
157,317,2,158,1
158,318,4,79,2
159,320,3,106,2
160,322,79,4,6
161,328,5,65,3
162,331,163,2,5
163,336,5,67,1
164,337,167,2,3
165,340,13,26,2
166,342,4,85,2
167,344,7,49,1
168,345,7,49,2
169,347,2,173,1
170,348,347,1,1
171,349,2,174,1
172,350,349,1,1
173,351,2,175,1
174,352,3,117,1
175,353,2,176,1
176,354,9,39,3
177,357,5,71,2
178,359,3,119,2
179,361,179,2,3
180,364,181,2,2
181,366,5,73,1
182,367,4,91,3
183,370,4,92,2
184,372,7,53,1
185,373,2,186,1
186,374,373,1,1
187,375,2,187,1
188,376,373,1,3
189,379,2,189,1
190,380,13,29,3
191,383,3,127,2
192,385,127,3,4
193,389,193,2,3
194,392,97,4,4
195,396,5,79,1
196,397,5,79,2
197,399,397,1,2
198,401,2,200,1
199,402,199,2,4
200,406,13,31,3
201,409,2,204,1
202,410,7,58,4
203,414,4,103,2
204,416,3,138,2
205,418,3,139,1
206,419,3,139,2
207,421,11,38,3
208,424,211,2,2
209,426,9,47,3
210,429,2,214,1
211,430,3,143,1
212,431,2,215,1
213,432,431,1,1
214,433,2,216,1
215,434,433,1,1
216,435,4,108,3
217,438,19,23,1
218,439,4,109,3
219,442,3,147,1
220,443,2,221,1
221,444,5,88,4
222,448,3,149,1
223,449,2,224,1
224,450,89,5,5
225,455,3,151,2
226,457,5,91,2
227,459,2,229,1
228,460,3,153,1
229,461,3,153,2
230,463,461,1,2
231,465,463,1,2
232,467,2,233,1
233,468,233,2,2
234,470,3,156,2
235,472,5,94,2
236,474,4,118,2
237,476,11,43,3
238,479,5,95,4
239,483,4,120,3
240,486,5,97,1
241,487,2,243,1
242,488,3,162,2
243,490,3,163,1
244,491,2,245,1
245,492,5,98,2
246,494,17,29,1
247,495,4,123,3
248,498,7,71,1
