n;A029955;weight;level;jump
1;0;0;0;1
2;1;0;0;1
3;2;0;0;1
4;3;2;1;1
5;4;3;1;1
6;5;2;2;1
7;6;5;1;1
8;7;2;3;1
9;8;3;2;2
10;10;0;0;10
11;20;0;0;10
12;30;20;1;10
13;40;15;2;10
14;50;20;2;10
15;60;25;2;10
16;70;12;5;10
17;80;3;26;2
18;82;73;1;9
19;91;41;2;9
20;100;13;7;9
21;109;10;10;9
22;118;109;1;9
23;127;59;2;9
24;136;127;1;9
25;145;17;8;9
26;154;12;12;10
27;164;31;5;9
28;173;41;4;9
29;182;173;1;9
30;191;13;14;9
31;200;191;1;9
32;209;10;20;9
33;218;11;19;9
34;227;109;2;9
35;236;113;2;10
36;246;79;3;9
37;255;41;6;9
38;264;15;17;9
39;273;11;24;9
40;282;13;21;9
41;291;47;6;9
42;300;97;3;9
43;309;10;30;9
44;318;11;28;10
45;328;11;29;9
46;337;41;8;9
47;346;337;1;9
48;355;173;2;9
49;364;71;5;9
50;373;13;28;9
51;382;373;1;9
52;391;191;2;9
53;400;13;30;10
54;410;401;1;9
55;419;10;41;9
56;428;419;1;9
57;437;107;4;9
58;446;19;23;9
59;455;223;2;9
60;464;13;35;9
61;473;16;29;9
62;482;59;8;10
63;492;21;23;9
64;501;12;41;9
65;510;167;3;9
66;519;10;51;9
67;528;173;3;9
68;537;11;48;9
69;546;179;3;9
70;555;13;42;9
71;564;277;2;10
72;574;113;5;9
73;583;14;41;9
74;592;11;53;9
75;601;16;37;9
76;610;601;1;9
77;619;10;61;9
78;628;619;1;9
79;637;157;4;9
80;646;12;53;10
81;656;647;1;9
82;665;16;41;9
83;674;19;35;9
84;683;337;2;9
85;692;683;1;9
86;701;173;4;9
87;710;701;1;9
88;719;10;71;9
89;728;3;242;2
90;730;128;5;90
91;820;146;5;90
92;910;164;5;90
93;1000;91;10;90
94;1090;100;10;90
95;1180;109;10;90
96;1270;118;10;90
97;1360;127;10;90
98;1450;12;120;10
99;1460;137;10;90
100;1550;146;10;90
101;1640;155;10;90
102;1730;164;10;90
103;1820;173;10;90
104;1910;91;20;90
105;2000;191;10;90
106;2090;100;20;90
107;2180;14;155;10
108;2190;100;21;90
109;2280;146;15;90
110;2370;95;24;90
111;2460;158;15;90
112;2550;123;20;90
113;2640;102;25;90
114;2730;110;24;90
115;2820;91;30;90
116;2910;20;145;10
117;2920;283;10;90
118;3010;146;20;90
119;3100;215;14;90
120;3190;100;31;90
121;3280;110;29;90
122;3370;164;20;90
123;3460;337;10;90
124;3550;173;20;90
125;3640;11;330;10
126;3650;178;20;90
127;3740;146;25;90
128;3830;110;34;90
129;3920;383;10;90
130;4010;98;40;90
131;4100;401;10;90
132;4190;100;41;90
133;4280;419;10;90
134;4370;20;218;10
135;4380;110;39;90
136;4470;146;30;90
137;4560;149;30;90
138;4650;95;48;90
139;4740;93;50;90
140;4830;158;30;90
141;4920;105;46;90
142;5010;120;41;90
143;5100;509;10;10
144;5110;251;20;90
145;5200;146;35;90
146;5290;100;52;90
147;5380;115;46;90
148;5470;269;20;90
149;5560;547;10;90
150;5650;139;40;90
151;5740;113;50;90
152;5830;12;485;10
153;5840;115;50;90
154;5930;146;40;90
155;6020;593;10;90
156;6110;140;43;90
157;6200;94;65;90
158;6290;100;62;90
159;6380;170;37;90
160;6470;110;58;90
161;6560;3;2186;2
162;6562;6481;1;81
163;6643;193;34;81
164;6724;91;73;81
165;6805;82;82;81
166;6886;1361;5;81
167;6967;313;22;81
168;7048;6967;1;81
169;7129;881;8;81
170;7210;178;40;90
171;7300;7219;1;81
172;7381;100;73;81
173;7462;121;61;81
174;7543;82;91;81
175;7624;397;19;81
176;7705;953;8;81
177;7786;115;67;81
178;7867;229;34;81
179;7948;3929;2;90
180;8038;109;73;81
181;8119;4019;2;81
182;8200;353;23;81
183;8281;82;100;81
184;8362;91;91;81
185;8443;113;74;81
186;8524;8443;1;81
187;8605;2131;4;81
188;8686;307;28;90
189;8776;185;47;81
190;8857;1097;8;81
191;8938;521;17;81
192;9019;82;109;81
193;9100;311;29;81
194;9181;91;100;81
195;9262;9181;1;81
196;9343;421;22;81
197;9424;359;26;90
198;9514;9433;1;81
199;9595;134;71;81
200;9676;95;101;81
201;9757;82;118;81
202;9838;887;11;81
203;9919;4919;2;81
204;10000;91;109;81
205;10081;100;100;81
206;10162;1259;8;90
207;10252;1453;7;81
208;10333;233;44;81
209;10414;10333;1;81
210;10495;82;127;81
211;10576;2099;5;81
212;10657;661;16;81
213;10738;10657;1;81
214;10819;91;118;81
215;10900;94;115;90
216;10990;10909;1;81
217;11071;157;70;81
218;11152;11071;1;81
219;11233;82;136;81
220;11314;239;47;81
221;11395;5657;2;81
222;11476;215;53;81
223;11557;151;76;81
224;11638;2887;4;90
225;11728;613;19;81
226;11809;733;16;81
227;11890;241;49;81
228;11971;82;145;81
229;12052;11971;1;81
230;12133;92;131;81
231;12214;1103;11;81
232;12295;197;62;81
233;12376;6143;2;90
234;12466;2477;5;81
235;12547;271;46;81
236;12628;12547;1;81
237;12709;82;154;81
238;12790;179;71;81
239;12871;1279;10;81
240;12952;211;61;81
241;13033;1619;8;81
242;13114;12;1092;10
243;13124;13043;1;81
244;13205;193;68;81
245;13286;95;139;81
246;13367;91;146;81
247;13448;13367;1;81
248;13529;82;164;81
249;13610;83;163;81
250;13691;1361;10;81
251;13772;6841;2;90
252;13862;13781;1;81
253;13943;239;58;81
254;14024;191;73;81
255;14105;1753;8;81
256;14186;91;155;81
257;14267;82;173;81
258;14348;1297;11;81
259;14429;211;68;81
260;14510;103;140;90
261;14600;14519;1;81
262;14681;100;146;81
263;14762;277;53;81
264;14843;121;122;81
265;14924;14843;1;81
266;15005;82;182;81
267;15086;3001;5;81
268;15167;397;38;81
269;15248;106;143;90
270;15338;209;73;81
271;15419;7669;2;81
272;15500;907;17;81
273;15581;100;155;81
274;15662;15581;1;81
275;15743;82;191;81
276;15824;91;173;81
277;15905;86;184;81
278;15986;1987;8;90
279;16076;457;35;81
280;16157;4019;4;81
281;16238;107;151;81
282;16319;353;46;81
283;16400;16319;1;81
284;16481;82;200;81
285;16562;16481;1;81
286;16643;91;182;81
287;16724;8317;2;90
288;16814;577;29;81
289;16895;1201;14;81
290;16976;109;155;81
291;17057;1061;16;81
292;17138;461;37;81
293;17219;82;209;81
294;17300;257;67;81
295;17381;100;173;81
296;17462;101;172;90
297;17552;17471;1;81
298;17633;1097;16;81
299;17714;229;77;81
300;17795;521;34;81
301;17876;3559;5;81
302;17957;82;218;81
303;18038;17957;1;81
304;18119;311;58;81
305;18200;1811;10;90
306;18290;131;139;81
307;18371;118;155;81
308;18452;18371;1;81
309;18533;659;28;81
310;18614;431;43;81
311;18695;82;227;81
312;18776;3739;5;81
313;18857;2347;8;81
314;18938;124;152;90
315;19028;18947;1;81
316;19109;134;142;81
317;19190;97;197;81
318;19271;95;202;81
319;19352;2753;7;81
320;19433;82;236;81
321;19514;19433;1;81
322;19595;887;22;81
323;19676;9833;2;10
324;19686;1307;15;81
325;19767;102;193;81
326;19848;599;33;81
327;19929;827;24;81
328;20010;91;219;81
329;20091;87;230;81
330;20172;111;181;81
331;20253;82;246;81
